,district,rooms,size,level,max_levels,price,kocha_grouped
1496,Чиланзарский,2,62.0,2,4,70000.0,Чиланзар 1-й квартал
1497,Чиланзарский,2,65.0,2,12,65000.0,Мукими
1498,Учтепинский,1,44.0,7,16,31000.0,Чиланзар 15-й квартал
1499,Чиланзарский,1,34.0,2,4,25500.0,other_very_low
1500,Яшнободский,4,82.0,4,4,45000.0,Городок Авиастроителей 1-й квартал
1501,Учтепинский,3,100.0,3,4,71000.0,Чиланзар 12-й квартал
1502,Мирзо-Улугбекский,2,40.0,1,3,26000.0,Зиёлилар
1503,Мирзо-Улугбекский,1,25.0,3,4,21500.0,Буюк Ипак йули
1504,Яккасарайский,1,40.0,5,5,30000.0,Башлык
1505,Мирзо-Улугбекский,2,50.0,1,4,30000.0,Ялангач
1506,Мирзо-Улугбекский,5,125.0,5,5,107000.0,Мирзакалона Исмаили
1507,Мирзо-Улугбекский,3,80.0,5,5,39000.0,Карасу 6-й квартал
1508,Учтепинский,4,130.0,2,3,106000.0,other_very_high
1509,Чиланзарский,2,45.0,4,4,38000.0,1-й проезд Катта Чиланзар
1510,Мирзо-Улугбекский,3,90.0,2,9,51000.0,Карасу 6-й квартал
1511,Чиланзарский,1,27.0,3,3,19500.0,Чиланзар 2-й квартал
1512,Яккасарайский,5,116.0,3,9,87000.0,Башлык
1513,Юнусабадский,2,53.0,3,4,34500.0,other_low
1514,Юнусабадский,3,65.0,3,3,58000.0,other_high
1515,Мирзо-Улугбекский,4,78.0,4,5,65000.0,Буюк Ипак йули (Луначарское) 
1516,Учтепинский,3,72.0,8,9,38000.0,Чиланзар 31-й квартал
1517,Чиланзарский,2,48.0,5,5,32500.0,Чиланзар квартал Ц
1518,Чиланзарский,4,80.0,4,5,64000.0,Чиланзар квартал Е
1519,Чиланзарский,2,48.0,3,4,32000.0,Наккошлык
1520,Яккасарайский,3,80.0,4,4,47000.0,Богибустон
1521,Чиланзарский,1,34.0,4,4,23000.0,Домбрабад
1522,Чиланзарский,1,42.0,3,9,31500.0,Домбрабад
1523,Учтепинский,1,28.0,3,4,22000.0,Чиланзар 22-й квартал
1524,Чиланзарский,1,43.0,4,9,35000.0,площадь Актепа
1525,Учтепинский,4,95.0,1,5,126000.0,Чиланзар 23-й квартал
1526,Чиланзарский,6,136.0,2,4,94000.0,Чиланзар 9-й квартал
1527,Чиланзарский,4,100.0,5,9,90000.0,Чиланзар квартал Ц
1528,Чиланзарский,4,180.0,6,9,150000.0,Чиланзар квартал Ц
1529,Чиланзарский,3,75.0,7,9,44500.0,other_medium
1530,Чиланзарский,5,206.0,1,9,190000.0,Катта козиробод
1531,Олмазорский,2,50.0,4,4,33500.0,Ахмада Дониша
1532,Чиланзарский,1,27.0,4,4,24000.0,1-й проезд Катта Чиланзар
1533,Мирабадский,3,92.0,9,9,60000.0,Афросиаб (пр-т Косманавтов) 
